id,name,description,sizes,gender,image1,image2,image3,image4
dress1,"БАРХАТНОЕ ПЛАТЬЕ-ГОДЕ","Изящное вечернее платье-годе из мягкого бархата: глубокий вырез на спинке, дополненный поясом-завязками с бантом.","S,M,L","Девушкам,Беременным","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-4da50f44e6350fd2abb99503f5c71df2.jpg","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-c4eaca676a4cd027949ed48b48724db5.jpg","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-2e2ee8d00ae8ec20a334c8f397a6b1cf.jpg",""
dress2,"Китаеза","Прозрачное воздушное платье с изящными рукавами, выполненное из легкой полупрозрачной ткани.","S","Беременным,Девочкам,Девушкам","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-c5d0a69f9e7d9e15b8ff7031c95da972.jpg","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-e825581d317d771cffddc944161d8205.jpg","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-4e4db9997b359ce009785b682453b65d.jpg","https://static-cdn4-2.vigbo.tech/u20564/23812/blog/6885366/6733401/88463123/2000-Krakozyabra-500ec6a696b0ec728fadb5ed307d14d9.jpg"
